1,Tracer,Offense,Pulse Pistols,12,40
2,Soldier: 76,Offense,Heavy Pulse Rifle,20,10
3,Reaper,Offense,Hellfire Shotguns,140 (both shotguns fired together),2
4,Pharah,Offense,Rocket Launcher,120 per rocket,6
5,Reinhardt,Tank,Rocket Hammer (melee),75,N/A
6,D.Va,Tank,Fusion Cannons,2-4 (depending on charge),8
7,Winston,Tank,Tesla Cannon,6 per second,variable 
8,Zenyatta,Support,Orb of Harmony (healing),30 per second,N/A
9,Ana,Support,Biotic Rifle,70,1.33
10,Lucio,Support,Sonic Amplifier (bounces off walls),20,20
